product,brand,product_code,price,inward_date,dispatch_date,quantity_sold,sales,lap_customer_id,lap_customer_name,customer_location,region,processor_specification,ram,rom,ssd,stock_in_inventory,Product segmentation
0,1,13344,9270,13-07-2023,24-06-2023,4,675820,24,24,2577,2,4,6,256,512,45,Low demand lap
0,5,14678,4054,03-11-2023,01-02-2025,6,781524,25,25,4926,0,7,6,128,1028,29,Best selling lap
0,1,4478,17113,26-05-2024,26-07-2023,2,101182,26,26,9219,4,1,8,128,2028,23,High ssd lap
0,1,11164,3695,12-07-2024,20-03-2025,3,382764,27,27,10288,3,5,6,512,1028,53,Low demand lap
0,1,14459,14096,17-01-2025,12-02-2024,5,130790,28,28,14320,2,1,16,512,1028,22,Low demand lap
0,0,21080,4618,12-10-2024,26-05-2023,10,1344250,29,29,12220,1,3,16,1028,1028,54,Best selling lap
0,1,13780,22790,14-10-2023,14-11-2024,2,187926,30,30,4622,4,3,32,64,256,24,Low demand lap
0,8,6314,7484,25-11-2023,25-12-2023,8,1244032,30,30,5417,0,7,6,128,512,23,Best selling lap
0,1,23541,15643,17-06-2024,04-08-2023,6,234216,31,31,9689,4,7,12,512,256,28,Low demand lap
0,2,19746,21570,21-02-2025,19-08-2023,6,505668,32,32,15060,3,0,12,256,256,47,Low demand lap
0,2,20968,7550,09-03-2025,28-05-2024,10,1559100,33,33,15447,4,7,6,512,2028,45,Best selling lap
0,0,17468,21180,13-10-2024,26-08-2023,1,81365,34,34,12258,3,2,8,1028,1028,28,High storage lap
0,8,21338,495,14-08-2023,28-03-2024,7,725816,35,35,3265,3,3,6,1028,256,39,High storage lap
0,1,13301,22079,23-11-2023,14-05-2023,8,705320,36,36,5367,2,2,16,128,256,46,Low demand lap
0,0,17331,16833,30-09-2023,22-08-2023,5,242065,37,37,4409,1,0,8,128,256,32,Low demand lap
0,6,22408,19529,06-02-2024,06-04-2025,1,68737,38,38,6947,4,7,16,64,256,22,Low demand lap
0,7,1645,15422,22-07-2024,11-06-2023,2,74554,39,39,10503,4,6,6,64,1028,54,Low demand lap
0,1,9048,6025,31-05-2023,06-10-2023,3,434385,40,40,1642,1,4,16,256,2028,57,High ssd lap
0,1,10464,18305,09-02-2024,08-07-2023,7,417921,41,41,6980,2,1,6,1028,1028,28,High storage lap
0,5,16745,7387,13-06-2023,11-12-2023,2,309590,42,42,1854,0,0,8,128,256,20,Low demand lap
0,7,10770,16695,09-05-2023,10-02-2025,7,331303,43,43,1138,0,7,6,1028,2028,11,High storage lap
0,4,18598,7740,22-03-2023,06-03-2025,5,786995,44,44,39,3,3,12,256,2028,43,High ssd lap
0,2,3174,10396,31-05-2024,12-02-2024,8,1423280,45,45,9309,1,6,8,1028,512,3,Best selling lap
0,2,11793,18428,03-03-2024,04-11-2023,2,12132,46,46,7430,1,1,8,64,512,12,Low demand lap
0,0,20942,12161,23-01-2025,03-03-2025,2,38222,47,47,14429,0,7,16,128,256,33,Low demand lap
0,2,17494,11626,23-05-2024,09-05-2025,1,187057,48,48,9146,3,7,4,1028,2028,56,High storage lap
0,8,4134,10036,30-10-2024,21-03-2024,7,1224685,49,49,12570,4,3,12,256,1028,32,Best selling lap
0,8,6324,16325,11-10-2024,10-05-2023,6,266004,50,50,12202,4,6,12,64,2028,26,High ssd lap
0,6,8969,19183,17-01-2024,19-01-2025,6,397194,51,51,6538,1,6,4,128,1028,44,Low demand lap
0,7,7246,9443,10-11-2024,07-05-2023,9,153315,52,52,12776,4,0,6,128,2028,40,High ssd lap
0,1,3589,21968,11-08-2024,17-11-2023,5,436650,53,53,10905,0,2,12,64,2028,5,High ssd lap
0,1,16447,9573,26-09-2023,12-06-2023,8,1370472,54,54,4307,2,4,8,1028,1028,45,Best selling lap
0,1,15300,4802,15-01-2024,22-09-2024,1,135852,55,55,6481,2,2,12,128,2028,25,High ssd lap
0,4,20475,22955,05-08-2023,07-01-2025,4,381020,56,56,3055,4,2,8,1028,1028,24,High storage lap
0,4,14771,21923,28-06-2023,13-03-2024,9,782928,57,57,2207,4,7,16,64,2028,35,High ssd lap
0,4,10684,19544,01-04-2024,03-07-2023,5,344045,58,58,8032,2,0,8,256,2028,47,High ssd lap
0,3,20964,5207,31-12-2024,29-05-2024,4,554264,58,58,13883,4,6,8,128,512,6,Low demand lap
0,0,21468,22201,25-05-2024,25-12-2023,7,623721,59,59,9194,1,5,12,128,512,20,Low demand lap
0,1,20618,12699,06-11-2023,29-07-2023,10,195170,60,60,4990,3,0,12,1028,512,28,High storage lap
0,2,10405,5167,31-05-2023,28-01-2024,4,553304,61,61,1636,0,7,4,128,512,3,Low demand lap
0,1,20102,5654,21-09-2023,21-12-2023,8,1136192,62,62,4144,0,4,4,512,2028,17,Best selling lap
0,8,4042,10667,19-08-2024,10-09-2024,2,359434,62,62,11068,1,7,12,512,1028,45,Low demand lap
0,0,345,20824,05-05-2023,26-09-2023,7,54866,63,63,1031,0,7,32,512,256,59,Low demand lap
0,4,4316,18675,28-05-2024,20-07-2024,10,624180,63,63,9253,2,6,16,1028,256,37,High storage lap
0,8,7174,882,25-03-2023,03-05-2023,1,106504,64,64,103,1,4,4,64,2028,33,High ssd lap
0,4,7626,4345,11-01-2024,28-03-2025,7,927192,65,65,6370,4,1,4,512,2028,31,Best selling lap
0,1,1606,7459,07-01-2025,20-01-2025,1,155316,66,66,14077,4,5,4,128,1028,28,Low demand lap
0,2,5090,11412,02-04-2023,02-07-2024,9,1668618,67,67,277,4,0,32,256,1028,29,Best selling lap
0,6,23868,14353,30-01-2025,19-06-2024,4,113456,68,68,14618,0,0,16,128,1028,41,Low demand lap
0,8,23643,17875,14-12-2024,13-07-2023,7,39550,69,69,13538,3,3,4,64,256,14,Low demand lap
0,1,20699,5573,09-05-2023,15-07-2023,10,1414890,70,70,1159,2,0,16,1028,512,5,Best selling lap
0,1,4164,13068,23-12-2023,29-03-2024,1,198045,71,71,5967,1,6,8,128,512,9,Low demand lap
0,1,8810,5738,04-05-2023,28-10-2023,2,285064,72,72,1018,2,2,12,512,256,52,Low demand lap
0,8,23071,19012,27-04-2023,26-09-2024,9,584055,73,73,890,2,4,4,128,256,46,Low demand lap
0,7,22842,13993,18-05-2023,20-05-2024,2,50604,74,74,1358,1,1,6,256,2028,2,High ssd lap
0,1,20086,20204,03-11-2024,31-07-2024,6,442806,75,75,12649,4,0,16,64,256,40,Low demand lap
0,7,7507,21490,06-07-2024,20-09-2023,3,25107,76,76,10148,1,2,32,128,1028,15,Low demand lap
0,2,6768,13130,10-09-2024,14-01-2024,2,396788,77,77,11563,3,4,32,256,256,12,Low demand lap
0,6,6158,7886,22-09-2024,26-08-2023,4,633652,78,78,11778,4,7,8,256,1028,1,Low demand lap
0,8,11042,10358,19-08-2023,05-09-2024,7,1243249,79,79,3335,2,5,6,256,512,57,Best selling lap
0,1,20317,5704,09-09-2024,06-06-2024,1,142313,80,80,11525,4,2,8,512,256,20,Low demand lap
0,2,16986,2991,15-09-2023,15-06-2024,5,612200,81,81,4010,4,0,32,128,256,25,Low demand lap
0,4,9360,21474,27-12-2023,14-07-2023,10,836170,81,81,6078,1,1,12,1028,256,42,High storage lap
0,8,5106,9227,05-09-2023,03-05-2025,10,1685740,82,82,3790,3,5,6,64,1028,48,Best selling lap
0,1,6696,1093,08-09-2024,10-10-2023,3,324198,83,83,11519,1,1,8,128,256,52,Low demand lap
0,1,2837,12439,28-02-2025,26-06-2023,5,965805,84,84,15220,0,3,6,128,2028,17,High ssd lap
0,1,8535,3529,23-11-2023,24-07-2024,4,50556,85,85,5372,2,2,12,512,256,54,Low demand lap
0,0,24771,9487,25-09-2024,27-01-2025,9,1535859,86,86,11851,0,0,4,128,512,32,Best selling lap
0,8,22885,11240,28-04-2024,12-02-2025,4,736184,87,87,8593,1,7,32,512,256,16,Low demand lap
0,1,19808,12965,16-12-2024,28-07-2023,3,591534,88,88,13568,0,2,6,128,2028,33,High ssd lap
0,0,19648,5583,19-05-2024,16-11-2024,10,1415780,89,89,9049,1,6,8,64,512,48,Best selling lap
0,0,5234,5513,10-10-2024,15-05-2024,6,845742,90,90,12160,0,2,12,1028,256,7,High storage lap
0,0,443,19504,26-05-2023,24-06-2024,2,137102,91,91,1502,0,2,6,1028,256,17,High storage lap
0,4,21000,20624,24-06-2023,07-03-2025,10,769220,92,92,2128,3,5,6,128,256,13,Low demand lap
0,1,23520,5210,26-08-2024,06-10-2024,9,1247274,93,93,11196,4,2,16,1028,2028,25,Best selling lap
0,2,20322,16814,17-09-2024,08-01-2024,2,96528,94,94,11705,2,6,16,128,256,45,Low demand lap
0,4,20028,3676,16-06-2024,30-04-2024,7,891954,95,95,9652,3,6,16,1028,256,37,High storage lap
0,2,12600,22971,12-10-2024,20-03-2024,3,286056,96,96,12233,3,1,4,256,1028,31,Low demand lap
0,7,1312,14046,21-05-2024,06-12-2023,7,180264,97,97,9093,4,5,12,1028,256,36,High storage lap
0,8,7935,3731,29-03-2024,29-10-2023,7,895496,98,98,7983,3,3,8,1028,1028,8,High storage lap
0,0,2715,1580,24-01-2024,21-05-2023,9,1004652,99,99,6666,1,5,4,256,1028,13,Best selling lap
0,0,1009,18668,07-04-2023,08-05-2024,2,12472,100,100,367,4,0,16,512,512,33,Low demand lap
0,2,5139,16798,01-11-2023,04-07-2024,9,433188,101,101,4877,3,1,8,1028,2028,26,High storage lap
0,2,24190,5148,16-03-2024,04-03-2025,6,829098,102,102,7716,1,0,8,128,512,14,Best selling lap
0,7,13575,6869,27-04-2023,02-09-2024,3,453600,103,103,891,0,2,6,1028,1028,11,High storage lap
0,5,12756,9783,18-08-2024,31-05-2023,5,865245,104,104,11059,1,1,32,64,256,31,Low demand lap
0,0,1667,12113,23-09-2023,30-11-2024,6,1144152,105,105,4198,2,5,4,128,2028,29,High ssd lap
0,1,2280,13112,20-11-2023,03-12-2024,6,1189962,106,106,5297,2,7,4,128,1028,46,Best selling lap
0,4,454,4058,30-08-2024,17-05-2024,4,521056,107,107,11300,4,3,6,512,256,32,Low demand lap
0,3,11488,3354,04-01-2024,21-06-2023,5,62515,108,108,6242,3,4,4,64,512,60,Low demand lap
0,7,13855,21541,03-04-2024,12-12-2023,2,168114,109,109,8063,0,0,6,128,1028,36,Low demand lap
0,0,1233,3247,27-04-2023,06-03-2024,2,248478,110,110,885,4,0,4,1028,512,6,High storage lap
0,1,5065,23522,28-08-2024,19-05-2023,2,199520,111,111,11251,2,7,32,256,2028,58,High ssd lap
0,5,24813,20423,12-12-2024,21-10-2023,8,603392,112,112,13478,3,3,12,64,2028,7,High ssd lap
0,4,14331,16728,14-09-2024,13-01-2024,7,333200,113,113,11654,4,2,6,128,2028,4,High ssd lap
0,2,12299,11107,30-12-2024,30-03-2024,1,183022,114,114,13867,3,5,8,512,512,21,Low demand lap
0,8,2180,17549,07-06-2024,02-02-2024,6,324498,115,115,9461,1,5,6,512,256,18,Low demand lap
0,2,14400,8835,08-11-2023,26-05-2023,6,993852,116,116,5035,3,0,6,64,512,8,Best selling lap
0,0,15557,3733,24-05-2024,23-10-2024,10,1279470,117,117,9187,1,7,16,512,1028,57,Best selling lap
0,0,17538,8749,19-11-2023,11-12-2023,9,1485252,118,118,5260,0,1,4,256,512,1,Best selling lap
0,1,1971,1705,05-03-2024,25-04-2024,4,45064,119,119,7475,3,4,12,512,2028,24,High ssd lap
0,1,14614,1874,21-04-2023,15-09-2023,8,911168,120,120,759,4,3,12,1028,256,57,Best selling lap
0,2,4730,11785,31-01-2024,07-06-2024,4,75320,121,121,6855,4,3,8,512,2028,30,High ssd lap
0,0,2257,18967,04-06-2024,28-09-2023,4,258704,122,122,9401,0,4,32,256,512,24,Low demand lap
0,8,23946,20764,22-07-2024,02-06-2023,1,7791,123,123,10509,3,2,4,256,256,18,Low demand lap
0,5,10616,2061,02-10-2023,10-03-2025,10,1153060,124,124,4446,3,3,6,512,256,48,Best selling lap
0,4,5416,8854,27-10-2024,06-11-2023,2,331604,125,125,12482,2,5,32,512,512,10,Low demand lap
0,3,19965,15345,02-12-2024,19-05-2024,1,36607,126,126,13245,1,7,8,512,512,13,Low demand lap
0,0,9100,9320,16-12-2023,30-08-2024,4,677236,127,127,5849,2,1,6,128,256,45,Low demand lap
0,8,19870,4859,03-07-2024,14-11-2023,4,545080,128,128,10083,2,7,4,1028,1028,17,High storage lap
0,0,9974,15153,18-07-2023,28-01-2025,4,139984,129,129,2659,1,1,32,128,1028,50,Low demand lap
0,3,13165,1256,20-07-2024,01-07-2024,3,327855,129,129,10473,2,7,6,64,2028,33,High ssd lap
0,7,3564,10286,07-04-2023,19-10-2023,5,884715,130,130,366,3,1,8,128,1028,9,Low demand lap
0,1,6521,15708,23-07-2024,13-12-2024,10,395060,130,130,10526,2,1,6,256,1028,19,Low demand lap
0,1,18925,6222,08-01-2025,28-03-2025,4,58532,130,130,14109,1,1,32,512,512,10,Low demand lap
0,6,17466,9902,22-02-2025,06-06-2024,10,1739290,130,130,15080,1,4,6,512,512,22,Best selling lap
0,3,8136,4346,30-07-2023,07-06-2024,7,927374,131,131,2911,0,0,32,128,512,27,Best selling lap
0,1,8622,4613,27-11-2023,27-06-2023,6,806448,131,131,5455,1,3,6,128,256,28,Best selling lap
0,8,10641,14028,07-01-2025,28-12-2023,9,230220,131,131,14082,2,2,6,512,1028,12,Low demand lap
0,2,10178,21384,09-04-2023,08-07-2024,10,829470,132,132,420,1,1,32,512,1028,57,Best selling lap
0,1,23441,8460,14-07-2024,09-03-2024,1,162758,132,132,10344,2,6,8,256,512,6,Low demand lap
0,1,15951,8133,08-12-2024,10-07-2023,7,112189,133,133,13379,4,4,32,256,512,54,Low demand lap
0,3,1466,4269,26-04-2024,16-06-2024,4,527024,134,134,8541,3,2,6,1028,256,39,High storage lap
0,6,466,19564,05-03-2025,27-05-2024,9,620361,135,135,15375,2,1,32,64,2028,20,High ssd lap
0,2,12110,4538,12-03-2024,18-05-2023,10,1339070,136,136,7646,1,2,32,64,2028,57,Best selling lap
0,0,4028,3230,27-08-2024,05-06-2024,9,1117242,137,137,11222,3,5,6,1028,2028,9,Best selling lap
0,3,24144,11106,18-01-2025,02-10-2023,2,36604,138,138,14324,0,1,16,512,512,10,Low demand lap
0,5,4185,10463,11-03-2024,02-10-2023,6,1069830,139,139,7597,3,4,32,512,2028,18,High ssd lap
0,5,2219,9155,01-07-2023,10-09-2024,3,504228,140,140,2286,2,5,4,512,2028,11,High ssd lap
0,8,4125,4043,30-09-2024,06-06-2023,1,130186,141,141,11952,3,2,16,1028,256,27,High storage lap
0,5,3242,19279,03-04-2023,06-09-2024,5,334330,142,142,298,3,7,8,256,2028,2,High ssd lap
0,6,5716,21649,19-04-2023,06-11-2023,6,509130,143,143,676,3,7,4,64,512,46,Low demand lap
0,1,15598,15255,28-04-2024,26-07-2023,6,214602,144,144,8600,0,6,16,128,256,46,Low demand lap
0,6,7870,8287,07-08-2024,17-04-2024,7,1130416,145,145,10826,2,7,16,128,512,22,Best selling lap
0,1,17082,6581,02-07-2023,05-07-2023,2,298138,146,146,2327,4,0,4,256,512,8,Low demand lap
0,8,18407,19516,07-08-2023,16-02-2025,4,274584,146,146,3089,4,2,16,128,2028,20,High ssd lap
0,5,22837,10413,25-09-2023,25-01-2025,4,712076,147,147,4281,3,5,12,512,256,28,Low demand lap
0,0,13003,2979,21-11-2023,15-09-2023,2,244656,148,148,5310,2,0,4,128,2028,5,High ssd lap
0,0,12881,18169,15-08-2023,01-12-2024,8,46984,149,149,3275,4,3,12,64,512,35,Low demand lap
0,6,13202,7948,25-06-2024,10-01-2024,4,635988,150,150,9874,4,7,8,256,1028,21,Low demand lap
0,4,1162,1519,17-10-2024,31-01-2025,8,889488,151,151,12302,0,1,4,256,2028,44,Best selling lap
0,5,3222,20498,05-12-2023,18-04-2025,9,684639,152,152,5637,1,3,32,1028,2028,44,High storage lap
0,0,17759,18750,03-03-2024,27-10-2024,1,62981,153,153,7404,4,0,32,1028,1028,52,High storage lap
0,2,21776,6613,12-12-2023,09-05-2025,10,1493130,154,154,5772,4,4,16,256,1028,55,Best selling lap
0,7,10282,23160,25-10-2024,13-12-2023,2,193520,154,154,12435,2,2,12,1028,512,25,High storage lap
0,2,10188,8068,20-08-2023,22-03-2025,2,319676,155,155,3366,1,6,12,256,512,39,Low demand lap
0,6,21647,7588,25-06-2024,17-10-2024,5,780995,156,156,9875,3,4,12,128,2028,9,High ssd lap
0,4,10816,15280,12-07-2023,04-06-2023,7,251804,157,157,2557,3,0,12,256,512,46,Low demand lap
0,4,19792,13397,08-08-2024,25-09-2023,6,122292,158,158,10857,3,4,32,512,256,44,Low demand lap
0,3,13086,6146,16-02-2025,12-08-2024,4,583080,158,158,14964,2,0,8,64,256,13,Low demand lap
0,8,15859,12794,13-08-2024,03-01-2024,3,587880,159,159,10960,3,6,16,512,256,41,Low demand lap
0,6,6024,7305,16-07-2024,21-04-2024,7,1079288,160,160,10385,4,1,4,512,512,3,Best selling lap
0,1,16612,13488,16-03-2025,18-06-2024,8,168232,161,161,15529,3,3,32,512,256,1,Low demand lap
0,3,4868,13684,19-09-2023,25-04-2024,6,136866,162,162,4113,4,1,12,1028,1028,16,High storage lap
0,5,24236,1487,27-10-2024,10-04-2025,8,887576,162,162,12491,2,7,8,256,2028,60,Best selling lap
0,1,14108,2747,12-01-2025,15-07-2024,6,723132,163,163,14177,0,1,32,128,2028,42,High ssd lap
0,1,23309,6761,19-11-2023,25-02-2025,10,1503410,164,164,5241,4,4,32,1028,256,10,Best selling lap
0,0,13375,1474,11-02-2025,10-04-2023,2,221704,165,165,14842,2,0,16,256,512,7,Low demand lap
0,0,9140,7317,20-01-2025,27-07-2024,10,1542810,166,166,14368,2,3,32,256,2028,41,Best selling lap
0,8,15849,17530,06-06-2023,09-01-2024,2,107840,167,167,1749,1,4,32,512,2028,6,High ssd lap
0,2,8896,2890,13-03-2024,06-05-2023,7,851676,167,167,7665,1,4,6,256,512,37,Best selling lap
0,0,1664,20940,08-12-2023,09-05-2023,2,158830,168,168,5704,0,2,16,64,512,17,Low demand lap
0,6,11820,5580,11-07-2023,30-11-2023,4,566208,169,169,2523,3,5,4,64,512,55,Low demand lap
0,8,6171,10280,11-07-2023,24-10-2024,1,176879,169,169,2532,0,3,4,512,2028,52,High ssd lap
0,2,23228,20292,18-04-2024,09-09-2023,5,372240,169,169,8375,0,3,16,64,2028,16,High ssd lap
0,2,4119,19789,10-09-2024,24-10-2024,8,565376,169,169,11567,0,3,6,64,2028,53,High ssd lap
0,1,6187,8268,21-10-2023,16-03-2025,4,645580,170,170,4746,3,7,8,1028,2028,27,High storage lap
0,1,7588,16273,24-06-2024,27-12-2024,4,175784,171,171,9853,3,0,32,256,256,40,Low demand lap
0,8,18414,313,10-01-2024,15-09-2023,4,409228,172,172,6359,1,2,16,512,512,35,Low demand lap
0,4,5868,4605,06-08-2024,02-07-2023,3,402906,173,173,10819,1,6,12,512,1028,52,Low demand lap
0,2,9530,4725,30-12-2023,04-07-2023,9,1217925,174,174,6140,3,5,12,1028,2028,34,Best selling lap
0,0,24552,3205,05-05-2024,11-09-2023,10,1239230,175,175,8756,2,3,32,256,256,21,Best selling lap
0,4,22870,6606,16-06-2023,05-09-2023,7,1044848,176,176,1922,0,7,4,64,2028,20,High ssd lap
0,0,4239,2923,16-09-2024,10-06-2024,5,609850,177,177,11688,0,1,32,1028,1028,11,High storage lap
0,6,529,6547,20-11-2024,06-11-2023,1,14885,178,178,12988,3,4,16,512,2028,21,High ssd lap
0,1,8842,18458,09-06-2023,06-10-2024,9,548082,179,179,1800,3,7,8,64,512,50,Low demand lap
0,1,24149,3147,28-11-2023,11-01-2025,4,494144,180,180,5473,2,5,12,512,2028,38,High ssd lap
0,1,17824,20768,12-08-2023,12-03-2024,3,233820,181,181,3209,1,6,4,128,512,20,Low demand lap
0,4,24179,16153,22-05-2023,25-05-2024,7,300846,182,182,1412,2,5,32,256,256,27,Low demand lap
0,2,2242,2557,09-09-2024,17-08-2024,9,1071369,183,183,11542,2,3,8,256,1028,15,Best selling lap
0,1,17007,19793,12-03-2025,19-01-2025,2,141428,184,184,15484,2,0,12,256,512,27,Low demand lap
0,8,9189,17185,20-12-2024,04-03-2025,5,25590,185,185,13652,1,3,16,256,2028,17,High ssd lap
0,4,15508,3728,27-04-2024,09-03-2025,2,255792,186,186,8570,4,1,4,1028,2028,58,High storage lap
0,6,22552,22508,19-03-2025,07-04-2024,7,641417,187,187,15620,0,5,4,128,512,59,Low demand lap
0,0,13437,5782,01-02-2025,16-11-2023,3,428646,188,188,14646,0,1,4,1028,1028,52,High storage lap
0,2,20066,11517,15-08-2024,27-02-2025,6,1116744,189,189,11006,4,2,16,1028,512,17,High storage lap
0,0,17301,13334,10-03-2024,13-03-2024,5,999295,190,190,7583,0,1,4,128,256,9,Low demand lap
0,6,18783,17848,27-02-2024,10-01-2024,6,337620,191,191,7331,3,4,4,128,256,32,Low demand lap
0,5,8190,6806,18-11-2024,02-10-2024,7,1054746,192,192,12926,1,7,4,128,2028,50,High ssd lap
0,2,5859,5480,25-11-2024,29-12-2023,7,985285,192,192,13087,0,5,8,128,1028,55,Best selling lap
0,8,2628,2937,24-12-2024,16-06-2023,6,732108,193,193,13750,4,0,32,1028,1028,27,High storage lap
0,8,843,188,01-11-2024,19-12-2024,4,405252,194,194,12610,4,6,12,64,2028,51,High ssd lap
0,1,19380,14805,07-11-2023,05-08-2023,5,159985,195,195,5024,0,6,32,64,512,31,Low demand lap
0,8,8088,14220,18-11-2024,13-12-2024,8,217472,195,195,12927,3,4,32,128,1028,46,Low demand lap
0,1,726,14126,22-10-2024,16-10-2023,7,184387,196,196,12381,4,1,32,128,512,15,Low demand lap
0,3,21312,13575,15-09-2023,13-05-2024,9,197253,197,197,4005,2,2,32,64,2028,18,High ssd lap
0,2,12793,20965,05-03-2025,07-04-2023,7,557172,198,198,15354,3,6,12,64,256,14,Low demand lap
0,6,14516,13834,22-02-2024,19-11-2023,2,47968,199,199,7233,0,2,32,64,512,13,Low demand lap
0,1,15809,5263,26-04-2024,02-12-2024,2,277978,200,200,8538,2,6,16,1028,2028,13,High storage lap
0,5,23079,13736,18-09-2024,13-04-2025,10,232070,201,201,11711,1,2,8,1028,1028,32,High storage lap
0,0,21724,6343,19-11-2023,06-01-2025,2,294490,202,202,5245,4,3,8,256,1028,48,Low demand lap
0,5,23257,7641,03-07-2023,27-05-2023,2,313340,203,203,2328,3,5,12,128,1028,7,Low demand lap
0,2,21019,21699,02-12-2024,10-12-2024,1,85174,204,204,13238,0,6,32,1028,256,55,High storage lap
0,2,8678,20832,23-10-2023,14-10-2023,9,706356,205,205,4761,0,2,4,512,256,16,Low demand lap
0,0,13470,12666,09-06-2024,12-12-2024,5,974635,206,206,9499,1,7,12,256,512,24,Low demand lap
0,0,17566,4102,15-03-2024,02-11-2024,5,652680,207,207,7711,3,1,12,1028,1028,55,High storage lap
0,1,16254,20767,20-08-2023,25-06-2024,5,38965,208,208,3360,4,5,32,1028,512,60,High storage lap
0,0,24869,209,04-02-2025,05-02-2025,4,40612,209,209,14725,3,3,4,256,512,19,Low demand lap
0,3,8475,3745,09-11-2023,10-02-2024,3,384042,210,210,5059,2,0,4,1028,512,27,High storage lap
0,2,12884,8388,19-12-2024,11-06-2024,8,1297504,211,211,13641,4,4,16,256,256,18,Best selling lap
0,2,9851,5374,02-06-2023,03-02-2025,10,1398400,212,212,1680,1,5,6,512,2028,7,Best selling lap
0,2,1165,6234,17-02-2025,31-08-2024,8,1171584,213,213,14975,0,7,4,1028,256,13,Best selling lap
0,1,6591,12406,03-05-2024,03-10-2023,10,1929210,214,214,8713,0,7,6,64,2028,50,Best selling lap
0,1,11502,11169,15-01-2024,08-01-2025,4,734116,215,215,6487,2,1,32,512,256,12,Low demand lap
0,1,21027,20314,18-11-2024,11-03-2024,4,298480,216,216,12929,3,5,4,512,256,57,Low demand lap
0,1,13378,18327,17-07-2024,22-02-2024,1,59902,217,217,10403,0,6,12,512,1028,53,Low demand lap
0,1,18573,4907,27-06-2024,30-10-2023,10,1365240,218,218,9928,1,5,12,1028,2028,23,Best selling lap
0,5,10734,294,03-11-2023,29-07-2023,5,510520,219,219,4929,1,7,12,1028,256,12,High storage lap
0,1,17369,363,28-07-2023,05-08-2023,10,1026550,220,220,2874,3,7,12,1028,256,53,Best selling lap
0,8,23844,7548,30-03-2024,05-04-2024,6,935256,221,221,8015,0,7,4,64,512,58,Best selling lap
0,8,3913,1760,08-02-2024,26-11-2023,7,791378,222,222,6971,1,1,4,256,1028,30,Best selling lap
0,6,23976,18740,09-02-2024,22-07-2024,8,503232,223,223,6984,0,6,8,512,1028,52,Low demand lap
