product,brand,product_code,price,inward_date,dispatch_date,quantity_sold,sales,mobile_customer_id,customer_name,customer_location,region,processor_specification,ram,rom,ssd,stock_in_inventory,cluster
0,10,21741,74410,22-03-2023,24-03-2023,7,520870,13525,13525,1390,1,0,6,1028,,2,High stroage phone
0,10,2491,78875,22-03-2023,29-04-2023,7,552125,12013,12013,1539,0,1,12,1028,,38,High stroage phone
0,5,18208,156392,22-03-2023,28-04-2023,3,469176,14317,14317,1591,0,0,12,128,,37,Mid range phone
0,6,7220,148622,22-03-2023,06-05-2023,5,743110,1424,1424,2626,4,3,8,256,,45,Preimum phone
0,1,21313,183131,22-03-2023,01-05-2023,10,1831310,13650,13650,3392,2,4,12,1028,,40,Preimum phone
0,2,5036,66374,22-03-2023,29-04-2023,2,132748,18668,18668,3514,1,5,8,256,,38,Mid range phone
0,2,15783,185771,22-03-2023,10-04-2023,6,1114626,4657,4657,3671,3,3,12,256,,19,Preimum phone
0,6,10253,135818,22-03-2023,13-05-2023,4,543272,19636,19636,4519,4,5,8,256,,52,Mid range phone
0,5,7166,194580,22-03-2023,10-05-2023,1,194580,3002,3002,5423,3,1,32,512,,49,Gaming phone
0,8,15434,15360,22-03-2023,23-04-2023,10,153600,13836,13836,6452,0,2,4,1028,,32,High stroage phone
0,8,18674,27805,22-03-2023,15-05-2023,2,55610,7046,7046,7021,0,3,4,256,,54,Mid range phone
0,12,18270,63531,22-03-2023,31-03-2023,6,381186,2353,2353,7206,4,4,8,512,,9,Mid range phone
0,1,7846,107594,22-03-2023,28-04-2023,6,645564,2465,2465,7381,1,1,8,256,,37,Mid range phone
0,3,16339,38735,22-03-2023,08-05-2023,4,154940,19150,19150,7983,2,1,32,1028,,47,Gaming phone
0,9,3586,34688,22-03-2023,03-04-2023,6,208128,2060,2060,8666,1,4,32,256,,12,Gaming phone
0,1,15685,33064,22-03-2023,12-04-2023,9,297576,12143,12143,8672,1,0,6,1028,,21,High stroage phone
0,5,6776,193524,22-03-2023,17-04-2023,1,193524,3947,3947,10336,4,3,16,256,,26,Mid range phone
0,2,15131,181189,22-03-2023,12-05-2023,5,905945,1585,1585,10342,2,4,16,512,,51,Preimum phone
0,13,11077,26127,22-03-2023,09-05-2023,4,104508,17489,17489,11085,4,2,16,128,,48,Mid range phone
0,12,53,64835,22-03-2023,29-04-2023,8,518680,4999,4999,12121,1,1,8,256,,38,Mid range phone
0,12,21296,175844,22-03-2023,20-05-2023,9,1582596,13052,13052,12343,2,6,16,64,,59,Preimum phone
0,0,2110,82953,22-03-2023,31-03-2023,1,82953,9743,9743,12447,3,3,4,1028,,9,High stroage phone
0,1,7528,82618,23-03-2023,15-05-2023,8,660944,18618,18618,167,2,5,32,64,,53,Gaming phone
0,9,7028,119460,23-03-2023,17-05-2023,6,716760,19679,19679,259,4,3,6,512,,55,Preimum phone
0,4,5328,6637,23-03-2023,15-04-2023,7,46459,4047,4047,356,1,6,6,512,,23,Mid range phone
0,2,2277,68659,23-03-2023,01-05-2023,4,274636,20593,20593,1142,2,5,6,1028,,39,High stroage phone
0,10,6205,75880,23-03-2023,11-05-2023,10,758800,19571,19571,1496,2,4,12,512,,49,Preimum phone
0,5,7206,70133,23-03-2023,13-04-2023,7,490931,21022,21022,2280,3,5,16,128,,21,Mid range phone
0,0,20450,127942,23-03-2023,18-04-2023,2,255884,9776,9776,3038,2,6,32,512,,26,Gaming phone
0,3,22328,133041,23-03-2023,29-03-2023,9,1197369,11574,11574,3463,2,6,8,128,,6,Preimum phone
0,9,23955,122352,23-03-2023,29-03-2023,4,489408,12634,12634,3639,1,3,4,128,,6,Mid range phone
0,6,10327,154428,23-03-2023,21-04-2023,6,926568,21057,21057,4991,0,2,4,128,,29,Preimum phone
0,9,6216,75127,23-03-2023,03-04-2023,6,450762,16835,16835,5744,0,1,8,1028,,11,High stroage phone
0,4,1947,160170,23-03-2023,26-04-2023,7,1121190,15394,15394,5936,4,1,8,64,,34,Preimum phone
0,12,8600,121386,23-03-2023,30-04-2023,7,849702,15503,15503,6150,0,5,8,128,,38,Preimum phone
0,10,23793,50520,23-03-2023,06-04-2023,3,151560,3847,3847,7342,1,4,4,512,,14,Mid range phone
0,12,5592,141790,23-03-2023,23-04-2023,3,425370,6556,6556,7944,1,6,12,256,,31,Mid range phone
0,13,11874,60699,23-03-2023,03-05-2023,5,303495,8471,8471,8470,0,5,12,1028,,41,High stroage phone
0,13,8124,52707,23-03-2023,28-03-2023,9,474363,18746,18746,8769,0,5,6,128,,5,Mid range phone
0,10,12986,26626,23-03-2023,02-05-2023,10,266260,14259,14259,8818,0,2,32,512,,40,Gaming phone
0,7,20339,133245,23-03-2023,20-04-2023,9,1199205,20809,20809,9852,2,1,16,1028,,28,Preimum phone
0,4,10237,5975,23-03-2023,18-04-2023,9,53775,18507,18507,10660,1,6,8,256,,26,Mid range phone
0,8,22196,77012,23-03-2023,04-04-2023,1,77012,96,96,10819,3,6,8,256,,12,Mid range phone
0,0,19387,137794,23-03-2023,27-04-2023,1,137794,312,312,11776,1,6,4,256,,35,Mid range phone
0,3,18946,196112,23-03-2023,27-03-2023,1,196112,21539,21539,12584,3,1,6,64,,4,Mid range phone
0,2,8055,40574,23-03-2023,10-05-2023,9,365166,7620,7620,13437,0,2,16,128,,48,Mid range phone
0,11,12257,185846,23-03-2023,20-04-2023,6,1115076,1122,1122,13663,2,5,8,1028,,28,Preimum phone
0,4,18444,116957,23-03-2023,03-04-2023,8,935656,4211,4211,14473,1,1,32,512,,11,Gaming phone
0,0,11989,61656,23-03-2023,05-04-2023,6,369936,15217,15217,15381,2,1,8,512,,13,Mid range phone
0,4,18098,79438,23-03-2023,26-03-2023,9,714942,553,553,15426,2,3,12,512,,3,Preimum phone
0,6,7519,100850,24-03-2023,26-03-2023,9,907650,13693,13693,796,1,0,12,512,,2,Preimum phone
0,5,12213,88462,24-03-2023,30-03-2023,8,707696,13860,13860,1334,1,5,12,512,,6,Preimum phone
0,7,19062,86246,24-03-2023,18-05-2023,2,172492,16374,16374,3187,1,6,6,1028,,55,High stroage phone
0,2,12572,168740,24-03-2023,08-05-2023,5,843700,2662,2662,3343,3,6,6,256,,45,Preimum phone
0,8,18474,159886,24-03-2023,05-04-2023,10,1598860,3826,3826,3770,0,6,16,64,,12,Preimum phone
0,1,19998,40635,24-03-2023,28-04-2023,5,203175,2137,2137,3870,1,3,8,512,,35,Mid range phone
0,0,6495,45657,24-03-2023,21-04-2023,7,319599,3087,3087,4410,1,6,6,1028,,28,High stroage phone
0,3,5118,167014,24-03-2023,14-05-2023,9,1503126,2780,2780,4438,4,4,6,128,,51,Preimum phone
0,13,13264,59524,24-03-2023,13-05-2023,3,178572,14076,14076,4683,1,6,12,256,,50,Mid range phone
0,12,24543,52619,24-03-2023,04-05-2023,2,105238,19216,19216,5353,4,3,6,512,,41,Mid range phone
0,10,13993,113040,24-03-2023,01-04-2023,4,452160,5987,5987,5538,2,4,32,256,,8,Gaming phone
0,10,3755,118536,24-03-2023,27-03-2023,10,1185360,20800,20800,5958,4,1,6,256,,3,Preimum phone
0,7,8035,177332,24-03-2023,14-05-2023,6,1063992,7493,7493,6361,0,5,16,1028,,51,Preimum phone
0,9,11559,53946,24-03-2023,14-05-2023,5,269730,9352,9352,6733,4,0,32,512,,51,Gaming phone
0,0,5710,36034,24-03-2023,17-05-2023,10,360340,19704,19704,7202,3,6,4,1028,,54,High stroage phone
0,1,24061,21127,24-03-2023,25-04-2023,4,84508,8402,8402,7516,2,4,16,256,,32,Mid range phone
0,6,4258,146594,24-03-2023,23-04-2023,6,879564,14974,14974,7599,2,5,4,512,,30,Preimum phone
0,11,4271,20451,24-03-2023,20-05-2023,3,61353,19214,19214,9318,4,1,16,128,,57,Mid range phone
0,1,23199,140006,24-03-2023,27-03-2023,6,840036,921,921,9880,3,4,8,1028,,3,High stroage phone
0,10,4715,21050,24-03-2023,25-04-2023,5,105250,9958,9958,10032,2,3,32,128,,32,Gaming phone
0,9,2971,53126,24-03-2023,28-04-2023,9,478134,1330,1330,10108,4,4,32,256,,35,Gaming phone
0,6,14425,77343,24-03-2023,21-05-2023,3,232029,18,18,10981,4,6,16,1028,,58,High stroage phone
0,5,22925,23931,24-03-2023,01-05-2023,8,191448,13461,13461,10995,2,1,32,128,,38,Gaming phone
0,6,21282,52072,24-03-2023,13-05-2023,10,520720,10813,10813,11271,3,0,6,1028,,50,High stroage phone
0,13,3056,166040,24-03-2023,11-04-2023,3,498120,21437,21437,11421,4,4,6,1028,,18,High stroage phone
0,3,4389,167281,24-03-2023,30-03-2023,6,1003686,20107,20107,12697,3,3,12,64,,6,Preimum phone
0,11,7347,137252,24-03-2023,08-05-2023,3,411756,20143,20143,13204,1,4,8,512,,45,Mid range phone
0,5,22520,187419,24-03-2023,18-05-2023,9,1686771,8282,8282,13513,0,5,12,1028,,55,Preimum phone
0,6,11531,188942,24-03-2023,28-03-2023,5,944710,12666,12666,13907,4,1,6,128,,4,Preimum phone
0,10,16065,46651,24-03-2023,04-04-2023,10,466510,21157,21157,14420,2,0,4,256,,11,Mid range phone
0,0,11416,121809,24-03-2023,16-04-2023,1,121809,17687,17687,14838,4,2,8,1028,,23,High stroage phone
0,5,3258,145202,24-03-2023,12-04-2023,9,1306818,1567,1567,15186,4,3,16,256,,19,Preimum phone
0,0,13048,151804,25-03-2023,05-05-2023,2,303608,3166,3166,17,0,5,16,256,,41,Mid range phone
0,10,6967,101247,25-03-2023,05-05-2023,3,303741,14717,14717,59,1,4,4,256,,41,Mid range phone
0,12,15616,142798,25-03-2023,07-05-2023,6,856788,15433,15433,1077,2,3,12,256,,43,Preimum phone
0,10,23330,26732,25-03-2023,30-04-2023,1,26732,8369,8369,1437,2,5,12,64,,36,Mid range phone
0,5,23792,37807,25-03-2023,18-04-2023,5,189035,8882,8882,2838,3,1,12,512,,24,Mid range phone
0,5,5407,95700,25-03-2023,26-03-2023,6,574200,11987,11987,3715,1,6,16,64,,1,Mid range phone
0,12,20536,193414,25-03-2023,08-04-2023,1,193414,15769,15769,4006,3,3,8,64,,14,Mid range phone
0,12,9402,86801,25-03-2023,27-03-2023,10,868010,2323,2323,5231,3,2,8,64,,2,Preimum phone
0,12,5954,134461,25-03-2023,09-04-2023,9,1210149,14939,14939,5724,2,3,6,1028,,15,Preimum phone
0,13,15698,44963,25-03-2023,09-05-2023,8,359704,21805,21805,6269,2,4,12,256,,45,Mid range phone
0,13,11549,5708,25-03-2023,22-04-2023,2,11416,13951,13951,6612,4,5,16,1028,,28,High stroage phone
0,12,8165,66684,25-03-2023,29-03-2023,10,666840,16391,16391,7199,3,0,32,128,,4,Gaming phone
0,13,22234,182712,25-03-2023,14-04-2023,6,1096272,18090,18090,7421,3,3,8,512,,20,Preimum phone
0,9,16947,144140,25-03-2023,02-05-2023,1,144140,6406,6406,7766,3,5,8,512,,38,Mid range phone
0,12,12059,58338,25-03-2023,16-05-2023,2,116676,7890,7890,8429,2,6,4,64,,52,Mid range phone
0,7,5558,192499,25-03-2023,21-04-2023,5,962495,4358,4358,8813,3,2,6,128,,27,Preimum phone
0,12,6241,22122,25-03-2023,29-04-2023,9,199098,15921,15921,10126,3,1,12,1028,,35,High stroage phone
0,12,20187,87937,25-03-2023,02-05-2023,9,791433,20457,20457,12449,0,1,16,1028,,38,High stroage phone
0,11,2511,31257,25-03-2023,17-05-2023,10,312570,4122,4122,13081,4,2,32,256,,53,Gaming phone
0,4,4351,157207,25-03-2023,22-04-2023,7,1100449,5093,5093,13722,0,3,8,64,,28,Preimum phone
0,9,3500,116063,25-03-2023,18-05-2023,3,348189,17839,17839,13800,4,0,8,128,,54,Mid range phone
0,9,119,147238,25-03-2023,05-04-2023,4,588952,16740,16740,13898,0,1,32,128,,11,Gaming phone
0,12,23295,65948,25-03-2023,03-05-2023,10,659480,16988,16988,14406,4,2,6,128,,39,Mid range phone
0,0,7699,112504,26-03-2023,31-03-2023,5,562520,2249,2249,33,3,0,12,256,,5,Mid range phone
0,2,24549,5213,26-03-2023,30-03-2023,1,5213,10057,10057,457,3,5,16,64,,4,Mid range phone
0,8,16322,184411,26-03-2023,03-04-2023,4,737644,5489,5489,614,1,1,32,128,,8,Gaming phone
0,2,13700,130089,26-03-2023,14-05-2023,1,130089,20007,20007,634,0,3,4,1028,,49,High stroage phone
0,12,17106,31417,26-03-2023,20-05-2023,7,219919,12816,12816,1336,3,0,8,64,,55,Mid range phone
0,6,18459,76937,26-03-2023,22-04-2023,7,538559,1124,1124,2699,0,3,4,128,,27,Mid range phone
0,8,6502,155526,26-03-2023,25-04-2023,5,777630,13863,13863,2830,1,3,4,64,,30,Preimum phone
0,1,1527,138765,26-03-2023,07-05-2023,10,1387650,13215,13215,3979,1,4,4,64,,42,Preimum phone
0,6,20481,191293,26-03-2023,20-04-2023,4,765172,1028,1028,5705,1,6,12,1028,,25,High stroage phone
0,4,22495,181001,26-03-2023,29-04-2023,4,724004,18163,18163,5851,4,6,8,128,,34,Preimum phone
0,12,11065,173680,26-03-2023,14-05-2023,8,1389440,18280,18280,5912,0,0,8,512,,49,Preimum phone
0,4,11661,95259,26-03-2023,24-04-2023,5,476295,439,439,6073,0,2,8,64,,29,Mid range phone
0,8,4838,95476,26-03-2023,01-04-2023,2,190952,6163,6163,6215,2,3,16,64,,6,Mid range phone
0,0,13005,113937,26-03-2023,29-04-2023,5,569685,15693,15693,6804,2,2,8,1028,,34,High stroage phone
0,7,10468,194160,26-03-2023,31-03-2023,6,1164960,19074,19074,6935,3,1,12,512,,5,Preimum phone
0,10,20990,62659,26-03-2023,21-04-2023,1,62659,8876,8876,6956,4,3,8,512,,26,Mid range phone
0,4,9625,44574,26-03-2023,18-04-2023,1,44574,9155,9155,6963,4,6,32,64,,23,Gaming phone
0,0,2023,126218,26-03-2023,25-05-2023,1,126218,18440,18440,7134,1,4,12,128,,60,Mid range phone
0,13,3042,139441,26-03-2023,06-04-2023,10,1394410,9824,9824,7234,3,5,4,256,,11,Preimum phone
0,12,12887,68408,26-03-2023,01-04-2023,1,68408,17874,17874,7972,4,4,16,512,,6,Mid range phone
0,4,21075,168831,26-03-2023,19-04-2023,8,1350648,4910,4910,8152,1,6,4,64,,24,Preimum phone
0,1,7163,13226,26-03-2023,11-05-2023,5,66130,7410,7410,8697,3,5,6,1028,,46,High stroage phone
0,0,23743,33113,26-03-2023,12-04-2023,1,33113,1236,1236,9094,4,0,16,64,,17,Mid range phone
0,9,6699,64604,26-03-2023,09-04-2023,3,193812,12337,12337,9632,3,3,32,1028,,14,Gaming phone
0,3,10495,161464,26-03-2023,11-05-2023,10,1614640,6524,6524,9727,4,2,4,1028,,46,Preimum phone
0,1,6185,43063,26-03-2023,20-04-2023,6,258378,10756,10756,10307,1,5,4,256,,25,Mid range phone
0,3,21259,95303,26-03-2023,29-04-2023,7,667121,19586,19586,10661,1,1,12,1028,,34,High stroage phone
0,1,24634,6040,26-03-2023,08-04-2023,8,48320,15944,15944,12289,3,1,4,512,,13,Mid range phone
0,6,16336,49569,26-03-2023,05-04-2023,9,446121,4089,4089,13502,3,0,6,128,,10,Mid range phone
0,4,12566,158967,26-03-2023,03-05-2023,4,635868,15259,15259,14498,1,5,16,512,,38,Mid range phone
0,2,10758,114421,26-03-2023,19-04-2023,5,572105,16726,16726,14684,4,6,8,512,,24,Mid range phone
0,10,3441,126067,26-03-2023,31-03-2023,3,378201,11077,11077,14761,3,1,32,64,,5,Gaming phone
0,2,7765,129336,26-03-2023,28-04-2023,7,905352,701,701,14975,0,4,6,512,,33,Preimum phone
0,10,6676,138737,26-03-2023,07-05-2023,4,554948,10465,10465,15214,0,1,32,64,,42,Gaming phone
0,6,8707,176004,26-03-2023,02-04-2023,8,1408032,12462,12462,15337,0,3,32,128,,7,Preimum phone
0,7,5512,165055,26-03-2023,09-04-2023,1,165055,14996,14996,15470,1,5,16,512,,14,Mid range phone
0,8,2593,169259,27-03-2023,05-04-2023,4,677036,1715,1715,399,0,3,6,512,,9,Preimum phone
0,8,10059,79580,27-03-2023,08-05-2023,4,318320,21468,21468,835,2,6,32,64,,42,Gaming phone
0,5,5292,110849,27-03-2023,05-05-2023,3,332547,2016,2016,1102,2,6,4,512,,39,Mid range phone
0,12,2876,20172,27-03-2023,14-04-2023,8,161376,2138,2138,1301,3,4,12,128,,18,Mid range phone
0,10,16470,123319,27-03-2023,18-04-2023,10,1233190,15088,15088,1870,1,1,6,64,,22,Preimum phone
0,1,20769,134661,27-03-2023,30-03-2023,9,1211949,6438,6438,2040,0,0,8,1028,,3,Preimum phone
0,11,9741,189413,27-03-2023,25-04-2023,5,947065,8698,8698,2274,1,3,16,128,,29,Preimum phone
0,9,6471,153088,27-03-2023,28-03-2023,3,459264,14913,14913,2276,4,1,12,128,,1,Mid range phone
0,9,1902,54380,27-03-2023,09-05-2023,7,380660,2219,2219,2295,2,1,8,64,,43,Mid range phone
0,5,15498,65409,27-03-2023,03-05-2023,6,392454,8681,8681,2723,0,5,6,128,,37,Mid range phone
0,2,11463,136845,27-03-2023,11-05-2023,5,684225,14757,14757,3771,1,5,6,512,,45,Mid range phone
0,7,7227,92371,27-03-2023,30-04-2023,1,92371,842,842,4412,4,1,16,128,,34,Mid range phone
0,7,5260,52556,27-03-2023,16-04-2023,5,262780,5267,5267,5379,3,0,12,1028,,20,High stroage phone
0,11,1338,62464,27-03-2023,21-04-2023,10,624640,901,901,5480,1,6,32,1028,,25,Gaming phone
0,5,14501,181572,27-03-2023,21-04-2023,8,1452576,12188,12188,6187,0,2,12,64,,25,Preimum phone
0,0,9549,21133,27-03-2023,01-05-2023,1,21133,15891,15891,6400,0,6,4,128,,35,Mid range phone
0,6,16543,136093,27-03-2023,11-04-2023,8,1088744,563,563,6786,4,4,4,128,,15,Preimum phone
0,8,8973,58863,27-03-2023,25-04-2023,9,529767,13442,13442,7097,0,3,16,256,,29,Mid range phone
0,9,2128,46096,27-03-2023,24-04-2023,10,460960,16914,16914,7622,4,0,32,256,,28,Gaming phone
0,9,4483,165956,27-03-2023,01-05-2023,2,331912,3870,3870,7979,3,3,8,256,,35,Mid range phone
0,12,2304,165215,27-03-2023,17-04-2023,9,1486935,3949,3949,8176,3,0,12,64,,21,Preimum phone
0,11,14255,37633,27-03-2023,23-05-2023,4,150532,10695,10695,8204,1,5,32,1028,,57,Gaming phone
0,1,23841,159927,27-03-2023,25-05-2023,6,959562,14695,14695,8684,3,2,8,64,,59,Preimum phone
0,10,5401,128824,27-03-2023,09-05-2023,8,1030592,11375,11375,10336,1,3,12,512,,43,Preimum phone
0,6,24727,176823,27-03-2023,30-03-2023,4,707292,4399,4399,10403,3,2,4,256,,3,Preimum phone
0,10,4582,106458,27-03-2023,24-05-2023,9,958122,20714,20714,10549,2,5,4,128,,58,Preimum phone
0,9,5337,14060,27-03-2023,17-04-2023,3,42180,8828,8828,10614,1,4,32,128,,21,Gaming phone
0,4,16419,26594,27-03-2023,14-05-2023,1,26594,2903,2903,10983,1,0,16,64,,48,Mid range phone
0,9,23643,19197,27-03-2023,15-05-2023,5,95985,2324,2324,11453,1,5,32,256,,49,Gaming phone
0,4,19553,195517,27-03-2023,27-04-2023,8,1564136,18021,18021,11788,4,2,32,1028,,31,Preimum phone
0,9,23914,142428,27-03-2023,22-05-2023,2,284856,9815,9815,12448,4,0,8,512,,56,Mid range phone
0,13,10068,188546,27-03-2023,16-05-2023,4,754184,10303,10303,13498,1,0,4,1028,,50,High stroage phone
0,5,21461,71910,27-03-2023,11-04-2023,4,287640,2120,2120,13632,4,0,8,512,,15,Mid range phone
0,9,10147,5462,27-03-2023,28-04-2023,8,43696,11086,11086,14492,2,1,16,1028,,32,High stroage phone
0,8,1882,46817,27-03-2023,06-04-2023,3,140451,9536,9536,14627,1,5,32,1028,,10,Gaming phone
0,5,6820,83469,27-03-2023,06-04-2023,4,333876,20218,20218,14984,4,6,4,256,,10,Mid range phone
0,12,10816,144845,27-03-2023,17-04-2023,6,869070,18794,18794,15041,4,4,4,256,,21,Preimum phone
0,9,7063,92969,27-03-2023,30-03-2023,6,557814,15261,15261,15201,0,6,6,512,,3,Mid range phone
0,10,22594,167645,28-03-2023,29-04-2023,7,1173515,20752,20752,100,4,2,4,1028,,32,Preimum phone
0,11,15937,44305,28-03-2023,23-04-2023,9,398745,19969,19969,612,2,6,6,64,,26,Mid range phone
0,8,13825,163374,28-03-2023,22-04-2023,10,1633740,7858,7858,2021,3,3,32,64,,25,Preimum phone
0,13,6064,89317,28-03-2023,02-05-2023,3,267951,11852,11852,2198,4,0,4,64,,35,Mid range phone
0,0,9375,124489,28-03-2023,20-04-2023,8,995912,8095,8095,2498,0,6,8,128,,23,Preimum phone
0,11,6429,164460,28-03-2023,25-05-2023,6,986760,4626,4626,3624,1,1,32,128,,58,Gaming phone
0,7,7890,83422,28-03-2023,16-05-2023,7,583954,21237,21237,4409,1,5,8,512,,49,Mid range phone
0,5,19064,135702,28-03-2023,07-04-2023,7,949914,16393,16393,4603,1,2,6,512,,10,Preimum phone
0,11,6652,47881,28-03-2023,15-05-2023,7,335167,15707,15707,5659,4,3,12,1028,,48,High stroage phone
0,10,17240,68635,28-03-2023,03-04-2023,6,411810,1848,1848,5871,4,5,4,512,,6,Mid range phone
0,9,14615,159218,28-03-2023,07-05-2023,10,1592180,8289,8289,5993,4,0,4,64,,40,Preimum phone
0,10,23977,142557,28-03-2023,06-04-2023,6,855342,15760,15760,6072,4,4,4,64,,9,Preimum phone
0,5,16629,20689,28-03-2023,26-05-2023,3,62067,14602,14602,6244,4,6,6,128,,59,Mid range phone
0,0,3161,156702,28-03-2023,21-05-2023,6,940212,14222,14222,6645,3,6,6,128,,54,Preimum phone
0,4,7689,42032,28-03-2023,24-04-2023,1,42032,6437,6437,7146,4,1,32,64,,27,Gaming phone
0,7,2508,52090,28-03-2023,26-05-2023,7,364630,10360,10360,7459,3,5,4,128,,59,Mid range phone
0,10,19489,11490,28-03-2023,21-05-2023,6,68940,13631,13631,7551,3,1,32,512,,54,Gaming phone
0,11,14786,159087,28-03-2023,29-04-2023,3,477261,448,448,7669,3,6,32,64,,32,Gaming phone
0,0,7144,146390,28-03-2023,29-04-2023,6,878340,4752,4752,7722,2,1,4,128,,32,Preimum phone
0,13,9415,11016,28-03-2023,12-05-2023,7,77112,5308,5308,7921,2,2,12,1028,,45,High stroage phone
0,7,24186,75541,28-03-2023,17-04-2023,8,604328,19153,19153,8305,0,5,6,512,,20,Mid range phone
0,10,7574,133895,28-03-2023,10-04-2023,4,535580,20129,20129,9284,4,6,6,256,,13,Mid range phone
0,9,4019,118469,28-03-2023,23-05-2023,5,592345,9921,9921,11430,0,2,12,512,,56,Mid range phone
0,9,21815,30942,28-03-2023,28-04-2023,5,154710,17576,17576,11512,2,5,16,1028,,31,High stroage phone
0,12,2452,124257,28-03-2023,13-04-2023,1,124257,10581,10581,11672,4,0,6,256,,16,Mid range phone
0,0,22917,143868,28-03-2023,09-04-2023,6,863208,19616,19616,12800,3,1,6,64,,12,Preimum phone
